Date,Adj Close,Close,High,Low,Open,Volume
2024-02-23 00:00:00+00:00,688.0213013,697,703,696,701,46448923
2024-02-26 00:00:00+00:00,689.0083618,698,700,695,700,28798079
2024-02-27 00:00:00+00:00,689.0083618,698,701,691,700,33006829
2024-02-29 00:00:00+00:00,681.1114502,690,698,688,691,54368302
2024-03-01 00:00:00+00:00,680.1243286,689,697,688,697,23390635
2024-03-04 00:00:00+00:00,715.6605225,725,725,711,714,88861397
2024-03-05 00:00:00+00:00,720.5961914,730,738,728,735,64403889
2024-03-06 00:00:00+00:00,725.5317383,735,738,717,718,43687122
2024-03-07 00:00:00+00:00,750.2097168,760,769,754,755,71817344
2024-03-08 00:00:00+00:00,773.9005737,784,796,772,795,87139744
2024-03-11 00:00:00+00:00,756.1323853,766,778,761,768,64759810
2024-03-12 00:00:00+00:00,760.0808716,770,771,754,757,58110339
2024-03-13 00:00:00+00:00,768.9649658,779,785,777,785,36754557
2024-03-14 00:00:00+00:00,773.9005737,784,785,770,779,42010806
2024-03-15 00:00:00+00:00,743.2999268,753,777,753,771,73316437
2024-03-18 00:00:00+00:00,757.6797485,764,765,754,754,43589856
2024-03-19 00:00:00+00:00,755.6962891,762,765,755,758,30152375
2024-03-20 00:00:00+00:00,751.7293701,758,769,752,764,41280325
2024-03-21 00:00:00+00:00,777.5142822,784,784,772,773,46026103
2024-03-22 00:00:00+00:00,778.5059814,785,789,775,788,30660820
2024-03-25 00:00:00+00:00,773.5473633,780,788,779,783,19877101
2024-03-26 00:00:00+00:00,775.5308228,782,792,776,788,40990702
2024-03-27 00:00:00+00:00,772.5556641,779,785,779,785,18794479
2024-03-28 00:00:00+00:00,762.6383667,769,776,768,774,27190918
2024-03-29 00:00:00+00:00,769.5804443,776,777,768,769,9802000
2024-04-01 00:00:00+00:00,763.6300659,770,783,769,783,21041261
2024-04-02 00:00:00+00:00,783.4646606,790,790,783,784,37974481
2024-04-03 00:00:00+00:00,773.5473633,780,785,778,783,30890544
2024-04-08 00:00:00+00:00,776.522583,783,792,783,789,32202226
2024-04-09 00:00:00+00:00,812.2247314,819,820,792,795,56857731
2024-04-10 00:00:00+00:00,808.2578125,815,819,810,815,27480849
2024-04-11 00:00:00+00:00,813.2164307,820,820,811,811,25200651
2024-04-12 00:00:00+00:00,811.2330322,818,826,817,823,31508936
2024-04-15 00:00:00+00:00,799.3322754,806,812,803,804,38913470
2024-04-16 00:00:00+00:00,781.4812012,788,803,785,802,49508969
2024-04-17 00:00:00+00:00,797.3488159,804,808,793,798,34472074
2024-04-18 00:00:00+00:00,797.3488159,804,810,792,796,43598591
2024-04-19 00:00:00+00:00,743.7955322,750,770,746,769,130968654
2024-04-22 00:00:00+00:00,735.8617554,742,757,740,740,46540798
2024-04-23 00:00:00+00:00,747.7624512,754,761,752,761,30423647
2024-04-24 00:00:00+00:00,776.522583,783,785,769,770,39457128
2024-04-25 00:00:00+00:00,759.663147,766,774,765,770,28534926
2024-04-26 00:00:00+00:00,775.5308228,782,789,782,788,32571247
2024-04-29 00:00:00+00:00,788.4232788,795,795,787,790,26765837
2024-04-30 00:00:00+00:00,783.4646606,790,802,790,797,39051972
2024-05-02 00:00:00+00:00,765.6135864,772,789,772,789,40527228
2024-05-03 00:00:00+00:00,773.5473633,780,788,773,788,29901556
2024-05-06 00:00:00+00:00,779.4976807,786,793,786,791,32599878
2024-05-07 00:00:00+00:00,793.381897,800,800,792,797,33890214
